22-caliber,22calibre-22caliber-22calibre
admiralty-islands,admiraltyislands
admiralty-range,admiraltyrange
admission-day,admissionday
adonic,adonic-adonicline
adonis,adonis-genusadonis
adrian,baronadrian-edgardouglasadrian-adrian
adriatic,adriatic-adriaticsea
advanced-research-and-development-activity,arda-advancedresearchanddevelopmentactivity
advent-sunday,adventsunday
adventism,secondadventism-adventism
adventist,adventist-secondadventist
adzhar,adzhar-adzharia
aedes,aedes-genusaedes
aegates-isles,aegatesisles-aegadeanisles
aegean,aegeansea-aegean
aegean-civilization,aegeanculture-aegeancivilisation-aegeancivilization
aegean-island,aegeanisland
aegiceras,aegiceras-genusaegiceras
aegilops,aegilops-genusaegilops
aegina,aegina-aigina
aegospotami,aegospotamos-aegospotami
aegospotami,aegospotamos-aegospotami
aegypiidae,aegypiidae-familyaegypiidae
aegypius,genusaegypius-aegypius
aeolian,aeolian-eolian
aeolic,eolic-aeolicdialect-aeolic
aeolis,aeolis-aeolia
aeonium,aeonium-genusaeonium
aepyceros,genusaepyceros-aepyceros
aepyornidae,familyaepyornidae-aepyornidae
aepyorniformes,aepyorniformes-orderaepyorniformes
aerobacter,genusaerobacter-aerobacter
aerobacter-aerogenes,aerobacteraerogenes
aesculapius,asklepios-asclepius-aesculapius
aesculus,aesculus-genusaesculus
aesops-fables,aesopsfables
aethionema,aethionema-genusaethionema
aethusa,genusaethusa-aethusa
aetobatus,aetobatus-genusaetobatus
afghan,afghan-afghanistani
afghan-hound,afghan-afghanhound
afghan-monetary-unit,afghanmonetaryunit
afghani,afghan-afghani-afghanistani
afghanistan,afghanistan-islamicstateofafghanistan
aframomum,aframomum-genusaframomum
africanamerican,africanamerican-afroamerican
african-american-vernacular-english,ebonics-aave-blackvernacularenglish-blackenglishvernacular-africanamericanenglish-blackenglish-blackvernacular-africanamericanvernacularenglish
african-bowstring-hemp,sansevieriaguineensis-africanbowstringhemp-africanhemp
african-chameleon,africanchameleon-chamaeleochamaeleon
african-clawed-frog,africanclawedfrog-xenopuslaevis
african-coral-snake,africancoralsnake-aspidelapslubricus
african-country,africannation-africancountry
african-crocodile,crocodylusniloticus-africancrocodile-nilecrocodile
african-daisy,africandaisy
african-daisy,africandaisy
african-daisy,lonasinodora-lonasannua-africandaisy-yellowageratum
african-elephant,loxodontaafricana-africanelephant
african-grey,africangray-psittacuserithacus-africangrey
african-hemp,sparmanniaafricana-africanhemp
african-holly,africanholly-solanumgiganteum
african-hunting-dog,capehuntingdog-hyenadog-africanhuntingdog-lycaonpictus
african-lily,africantulip-blueafricanlily-africanlily-agapanthusafricanus
african-mahogany,africanmahogany
african-marigold,aztecmarigold-bigmarigold-africanmarigold-tageteserecta
african-monitor,africanmonitor-varanusniloticus
african-oil-palm,africanoilpalm-elaeisguineensis
african-scented-mahogany,africanscentedmahogany-sapelemahogany-entandrophragmacylindricum-cedarmahogany
african-violet,saintpauliaionantha-africanviolet
african-walnut,africanwalnut-lovoaklaineana
african-wild-ass,equusasinus-africanwildass
africanized-bee,killerbee-apismelliferaadansonii-apismelliferascutellata-africanizedhoneybee-africanizedbee
afrikaans,afrikaner-afrikaans
afrikaans,taal-afrikaans
afrikaner,afrikander-afrikaner-boer
afro,afrohairdo-afro
afroasiatic,afrasian-hamitosemitic-afroasiatic-afroasiaticlanguage-afrasianlanguage-afroasiatic
afrocarpus,afrocarpus-genusafrocarpus
aga,agha-aga
agalinis,agalinis-genusagalinis
agamidae,familyagamidae-agamidae
agapornis,agapornis-genusagapornis
agaricaceae,agaricaceae-familyagaricaceae
agaricales,agaricales-orderagaricales
agaricus,genusagaricus-agaricus
agassiz,louisagassiz-jeanlouisrodolpheagassiz-agassiz
agastache,agastache-genusagastache
agathis,agathis-genusagathis
agavaceae,sisalfamily-agavefamily-agavaceae-familyagavaceae
agave-tequilana,agavetequilana
agdestis,genusagdestis-agdestis
agee,agee-jamesagee
agelaius,agelaius-genusagelaius
agenize,agenize-agenise
agent-orange,agentorange
ageratina,genusageratina-ageratina
aghan,aghan-margasivsa
agkistrodon,ancistrodon-genusagkistrodon-agkistrodon-genusancistrodon
aglaomorpha,aglaomorpha-genusaglaomorpha
aglaonema,aglaonema-genusaglaonema
agnatha,superclassagnatha-agnatha
agnus-dei,agnusdei
agnus-dei,paschallamb-agnusdei
agonidae,agonidae-familyagonidae
agonus,genusagonus-agonus
agricola,agricola-gnaeusjuliusagricola
agrigento,agrigento-acragas
agriocharis,genusagriocharis-agriocharis
agrippa,agrippa-marcusvipsaniusagrippa
agrippina,agrippinatheelder-agrippina
agrippina,agrippinatheyounger-agrippina
agrobacterium,genusagrobacterium-agrobacterium
agrobacterium-tumefaciens,agrobacteriumtumefaciens
agropyron,agropyron-genusagropyron
agrostemma,genusagrostemma-agrostemma
agrostis,genusagrostis-agrostis
ahuehuete,ahuehuete-tuletree
aiken,conradaiken-conradpotteraiken-aiken
ailey,alvinailey-ailey
ailuropoda,ailuropoda-genusailuropoda
